"","subject","pain","money","money.per.pain","regret","display","subject_id","FID_mean_abs_error","FID_sd_abs_error","id","session","run"
"1","1",0.840434144042611,0.0619293071912166,-13.5708630075198,38.9919891577509,"regret = 39.0","AA374_ses-v1_run_1_2",12.6833333333333,18.8333383330827,"AA374",1,"1_2"
"2","10",-1.91556376679496,0.0976403815940685,19.6185608405214,32.7351952183528,"regret = 32.7","AS988_ses-v2_run_1_2",11.9333333333333,21.2083023930601,"AS988",2,"1_2"
"3","11",-2.80156872335679,0.0907923730456628,30.8568729880843,31.8442485489583,"regret = 31.8","AS988_ses-v2_run_3_4",13.2166666666667,23.1524729920956,"AS988",2,"3_4"
"4","12",1.67466117608733,0.0723384776737243,-23.1503513751109,45.9502767513342,"regret = 46.0","AV503_ses-v1_run_1_2",13,18.759856166555,"AV503",1,"1_2"
"5","13",0.901227144479232,0.0535264068642405,-16.8370566469187,45.8657964550193,"regret = 45.9","AV503_ses-v1_run_3_4",14.25,18.0372730848924,"AV503",1,"3_4"
"6","14",2.2009773828408,0.0727213349331984,-30.2659100642557,38.4826042340241,"regret = 38.5","AV503_ses-v2_run_1_2",11.8,16.3269559785474,"AV503",2,"1_2"
"7","15",0.346779729394718,0.03857782252262,-8.98909546259084,39.3418746544668,"regret = 39.3","AV503_ses-v2_run_3_4",16.8983050847458,16.3703842299548,"AV503",2,"3_4"
"8","16",1.63353708167502,0.054412431237659,-30.0213948268579,35.0239038450305,"regret = 35.0","AV532_ses-v1_run_1_2",12.85,17.3506459607197,"AV532",1,"1_2"
"9","17",1.07221050681602,0.0293043956419163,-36.5887261391721,28.1886810483332,"regret = 28.2","AV532_ses-v1_run_3_4",13.5666666666667,17.2148602210235,"AV532",1,"3_4"
"10","18",0.571629223323542,0.038658817897059,-14.7865158434405,40.6475906236882,"regret = 40.6","AV532_ses-v2_run_1_2",15.4333333333333,19.3901658340883,"AV532",2,"1_2"
"11","19",-0.355902448573364,0.057926019932213,6.14408600815063,43.5580695852486,"regret = 43.6","AV532_ses-v2_run_3_4",14.25,22.3171477735342,"AV532",2,"3_4"
"12","2",0.404793012165998,0.0323484751517964,-12.5135113870589,39.8646522384332,"regret = 39.9","AA374_ses-v1_run_3_4",15.0166666666667,17.6831737187746,"AA374",1,"3_4"
"13","20",-0.0188146966294398,0.021005589690595,0.895699521249997,40.3179126898297,"regret = 40.3","BC553_ses-v1_run_1_2",16.9,17.106545481338,"BC553",1,"1_2"
